"node","time","Ssows","Isows","Sgilts","Igilts","Spiglets","Ipiglets","Sgrowers","Igrowers","Sfinish","Ifinish","pentype","section","countdown","phi"
1,730,0,21,0,0,0,0,0,0,0,0,1,1,99999,0
2,730,0,21,0,0,0,0,0,0,0,0,1,1,99999,0
3,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
4,730,0,18,0,0,0,0,0,0,0,0,1,1,99999,0
5,730,0,18,0,0,0,0,0,0,0,0,1,1,99999,0
6,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
7,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
8,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
9,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
10,730,0,0,0,0,0,0,0,0,0,0,1,1,99999,0
11,730,0,2,0,0,0,0,0,0,0,0,2,1,99999,0
12,730,0,0,0,0,0,0,0,0,0,0,2,1,99999,0
13,730,0,0,0,0,0,0,0,0,0,0,2,1,99999,0
14,730,0,0,0,0,0,0,0,0,0,0,2,1,99999,0
15,730,0,0,0,0,0,0,0,0,0,0,2,1,99999,0
16,730,0,0,0,7,0,0,0,0,0,0,3,1,33,0
17,730,0,0,0,4,0,0,0,0,0,0,3,1,99999,0
18,730,0,0,0,7,0,0,0,0,0,0,3,1,99999,0
19,730,0,0,0,1,0,0,0,0,0,0,3,1,99999,0
20,730,0,0,0,4,0,0,0,0,0,0,3,1,99999,0
21,730,0,0,0,0,0,0,0,0,0,0,3,1,99999,0
22,730,0,0,0,0,0,0,0,0,0,0,3,1,99999,0
23,730,0,0,0,0,0,0,0,0,0,0,3,1,99999,0
24,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
25,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
26,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
27,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
28,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
29,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
30,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
31,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
32,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
33,730,0,0,0,0,0,0,0,0,0,0,4,1,99999,0
34,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
35,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
36,730,0,6,0,0,0,0,0,0,0,0,5,1,99999,0
37,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
38,730,0,6,0,0,0,0,0,0,0,0,5,1,99999,0
39,730,0,8,0,0,0,0,0,0,0,0,5,1,99999,0
40,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
41,730,0,7,0,0,0,0,0,0,0,0,5,1,99999,0
42,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
43,730,0,10,0,0,0,0,0,0,0,0,5,1,99999,0
44,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
45,730,0,11,0,0,0,0,0,0,0,0,5,1,99999,0
46,730,0,10,0,0,0,0,0,0,0,0,5,1,99999,0
47,730,0,8,0,0,0,0,0,0,0,0,5,1,99999,0
48,730,0,8,0,0,0,0,0,0,0,0,5,1,99999,0
49,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
50,730,0,7,0,0,0,0,0,0,0,0,5,1,99999,0
51,730,0,7,0,0,0,0,0,0,0,0,5,1,99999,0
52,730,0,8,0,0,0,0,0,0,0,0,5,1,99999,0
53,730,0,9,0,0,0,0,0,0,0,0,5,1,99999,0
54,730,0,8,0,0,0,0,0,0,0,0,5,1,99999,0
55,730,0,10,0,0,0,0,0,0,0,0,5,1,99999,0
56,730,0,10,0,0,0,0,0,0,0,0,5,1,99999,0
57,730,0,11,0,0,0,0,0,0,0,0,5,1,99999,0
58,730,0,11,0,0,0,0,0,0,0,0,5,1,99999,0
59,730,0,7,0,0,0,0,0,0,0,0,5,1,99999,0
60,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
61,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
62,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
63,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
64,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
65,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
66,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
67,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
68,730,0,0,0,0,0,0,0,0,0,0,5,1,99999,0
69,730,0,0,0,3,0,0,0,0,0,0,6,1,99999,0
70,730,0,0,0,2,0,0,0,0,0,0,6,1,99999,0
71,730,0,0,0,5,0,0,0,0,0,0,6,1,99999,0
72,730,0,0,0,7,0,0,0,0,0,0,6,1,99999,0
73,730,0,0,0,4,0,0,0,0,0,0,6,1,99999,0
74,730,0,0,0,4,0,0,0,0,0,0,6,1,99999,0
75,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
76,730,0,0,0,4,0,0,0,0,0,0,6,1,99999,0
77,730,0,0,0,9,0,0,0,0,0,0,6,1,99999,0
78,730,0,0,0,5,0,0,0,0,0,0,6,1,99999,0
79,730,0,0,0,5,0,0,0,0,0,0,6,1,99999,0
80,730,0,0,0,3,0,0,0,0,0,0,6,1,99999,0
81,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
82,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
83,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
84,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
85,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
86,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
87,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
88,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
89,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
90,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
91,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
92,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
93,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
94,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
95,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
